hidden_size,prediction_step,features,data_split,normalization_method,train_loss,train_rmse,test_loss,test_rmse
16,1,"['dew', 'temp', 'press']",0.8,minmax,0.1386539328562863,0.3707127901129385,0.13235286806092594,0.3627904107719114
32,1,"['dew', 'temp', 'press']",0.8,minmax,0.13437331354433338,0.36471751441196293,0.14016290702225961,0.373137042199299
64,1,"['dew', 'temp', 'press']",0.8,minmax,0.13351396368190957,0.3637497317095714,0.14168157191066952,0.37557979271962094
64,1,"['dew', 'temp', 'press']",0.8,minmax,0.13610870074433332,0.36736729687535385,0.13403632308973934,0.3648278057138562
64,1,"['dew', 'temp', 'press', 'iws', 'snow', 'rain']",0.8,minmax,,,,
64,1,"['pm2.5', 'dew', 'temp', 'press', 'iws', 'snow', 'rain']",0.8,minmax,,,,
64,1,"['dew', 'temp', 'press']",0.7,minmax,0.13600260994127353,0.3671218595512471,0.13201807327432075,0.36214066872666606
64,1,"['dew', 'temp', 'press']",0.8,minmax,0.13640482038975077,0.3679851954762092,0.12850414388454878,0.35752525248806993
64,1,"['dew', 'temp', 'press']",0.9,minmax,0.13540525275978169,0.36698448308733544,0.13481956188167846,0.36562185551657345
64,1,"['dew', 'temp', 'press']",0.8,minmax,0.13907145871892088,0.3713775321155095,0.12131641750588959,0.3467016828147483
64,1,"['dew', 'temp', 'press']",0.8,standard,0.13348270448092805,0.36376229015133693,0.14549475870071313,0.380414910478033
